ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
coderkid224,0,1,1,0,0,0,0
coderkid225,0,1,1,1,1,1,0
coderkid226,0,1,1,1,1,0,0
coderkid227,0,1,1,1,0,1,0
coderkid228,0,1,1,0,0,0,0
coderkid231,0,1,0,0,0,0,0
coderkid235,0,1,1,1,0,1,0
coderkid236,0,1,0,0,0,0,0
coderkid238,0,1,1,1,1,0,1
coderkid239,0,1,1,0,0,0,0
coderkid240,0,1,0,1,1,0,0
coderkid242,0,1,1,1,0,1,0
coderkid243,0,1,1,1,1,1,1
coderkid244,0,1,1,1,1,1,0
coderkid245,0,1,1,1,0,1,0
coderkid247,0,1,1,1,0,1,0
coderkid248,0,1,1,1,0,1,0
coderkid251,0,1,1,0,0,0,0
coderkid255,0,1,1,1,1,0,0
coderkid256,0,0,1,1,1,1,1
