ID,Error grading project,Added a new backdrop.,Added a new sprite.,"The main sprite has a script with the ""when green flag clicked"" block.",The main sprite starts in the same place every time.,The main sprite says something.,The main sprite moves.
Bell01B,0,1,0,0,0,0,0
Carey03B,0,1,1,1,1,1,0
Concepcion04B,0,1,1,1,1,1,0
Donley05B,0,1,1,1,1,0,0
Foreman07B,0,1,1,1,0,1,0
Hawkins08B,0,1,1,1,1,1,0
Holmes09B,0,1,1,1,0,1,1
Hutchinson11B,0,1,1,1,0,1,1
JJones14B,0,1,1,1,0,1,1
LJohnson12B,0,1,1,1,0,1,0
MJohnson13B,0,1,1,1,1,1,1
Pryor18B,0,1,1,1,0,1,1
Ramos19B,0,1,1,1,1,1,0
Robertson20B,0,1,1,1,0,1,0
Robinson21B,0,1,1,0,0,0,0
TJones15B,0,1,1,1,1,1,1
TThomas23B,0,0,1,0,0,0,0
Williams26B,0,1,1,1,0,0,0
tfleming06b,0,1,1,1,1,1,0
vivertte24b,0,1,1,1,0,1,0
