ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
grayscratchencore10,0,1,1,1
grayscratchencore11,0,1,1,1
grayscratchencore12,0,0,0,0
grayscratchencore13,0,0,1,1
grayscratchencore14,0,0,0,0
grayscratchencore16,0,1,1,1
grayscratchencore17,0,0,1,1
grayscratchencore18,0,1,1,1
grayscratchencore19,0,1,1,1
grayscratchencore2,0,1,1,0
grayscratchencore20,0,1,1,1
grayscratchencore21,0,0,0,0
grayscratchencore22,0,1,1,1
grayscratchencore25,0,0,0,0
grayscratchencore26,0,0,1,0
grayscratchencore27,0,1,1,1
grayscratchencore28,0,0,0,0
grayscratchencore3,0,0,0,0
grayscratchencore4,0,1,1,1
grayscratchencore5,0,1,1,0
grayscratchencore6,0,0,1,0
grayscratchencore7,0,0,1,0
grayscratchencore9,0,0,0,0
