ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
10mgpoe301,0,1,1,1
11pgpoe301,0,1,0,0
12cgpoe301,0,1,1,1
13agpoe301,0,1,0,1
14zhpoe301,0,0,0,0
15whpoe301,0,1,1,1
16klpoe301,0,0,1,1
17ampoe301,0,1,1,1
18bmpoe301,0,1,1,1
19mmpoe301,0,0,0,0
1mapoe301,0,1,1,1
20smpoe301,0,0,1,0
21mppoe301,0,0,0,0
22jppoe301,0,1,1,0
23erpoe301,0,1,1,1
24lrpoe301,0,1,1,1
25aspoe301,0,0,0,0
26ispoe301,0,1,1,1
27ewpoe301,0,1,1,1
28twpoe301,0,1,1,1
2aapoe301,0,1,1,1
4pbpoe301,0,0,0,0
5ccpoe301,0,1,1,1
6aepoe301,0,1,1,1
7cepoe301,0,1,1,0
8vfpoe301,0,1,1,0
9kgpoe301,0,1,1,1
