ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
grayscratchencore10,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore11,0,1,1,1,0,1,1,1,1,1,1
grayscratchencore12,0,1,0,0,0,1,1,1,1,1,1
grayscratchencore13,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore14,0,1,1,1,1,0,0,0,0,0,0
grayscratchencore15,0,1,1,1,0,0,0,0,0,0,0
grayscratchencore16,0,1,0,0,0,1,0,0,0,0,0
grayscratchencore17,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore18,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore19,0,1,0,0,0,1,1,1,1,1,1
grayscratchencore2,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore20,0,1,0,0,0,1,1,1,1,1,0
grayscratchencore21,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore22,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore23,0,1,0,0,0,1,1,1,1,1,1
grayscratchencore24,0,1,1,1,0,1,1,1,0,0,0
grayscratchencore26,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore27,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore3,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore4,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore5,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore6,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore7,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore8,0,1,1,1,1,1,1,1,1,1,1
grayscratchencore9,0,1,1,1,1,1,1,1,1,1,1
