ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
Awesome21326,0,1,0,0,0,0,0,0,0,0,0
BABRAKABRA,0,1,1,1,1,1,1,1,1,1,1
Crazy0000,0,1,1,1,1,1,1,1,1,1,1
DrCrooked,0,0,0,0,0,0,0,0,0,0,0
Dragonballz23,0,0,0,0,0,0,0,0,0,0,0
EB1290,0,1,1,1,1,1,1,1,1,1,1
MaRvelMeME21,0,1,0,0,0,1,1,0,1,0,0
OmegaLUL-123,0,1,1,1,1,1,1,1,1,1,1
PatrickStar091,0,1,0,0,0,1,1,1,1,1,1
RamenDire,0,1,1,1,1,1,1,1,1,1,1
RamenNoodleMan09,0,1,1,1,1,1,1,1,1,1,1
Reyos21,0,1,1,1,1,1,1,1,1,1,1
Unique_girl36,0,1,0,0,0,1,0,0,0,0,0
VlogerfromYT,0,1,1,1,1,1,1,1,1,1,1
WolfyTech19,0,1,1,1,0,1,1,1,1,1,1
astoria27,0,0,0,0,0,0,0,0,0,0,0
diepphi,0,1,0,0,0,0,0,0,0,0,0
fantastic18,0,1,1,1,1,1,1,1,1,1,1
jerrymouse021,0,1,0,0,0,1,1,1,1,1,0
lukeaqua9,0,1,1,1,1,1,1,1,1,1,1
mcbook,0,1,1,1,1,1,1,1,1,1,1
myfortnitegrind,0,1,1,1,1,1,1,1,1,1,0
soccer17Ab,0,1,0,0,0,0,0,0,0,0,0
steezykane123,0,1,0,0,0,0,0,0,0,0,0
toxicthunder13,0,1,0,0,0,0,0,0,0,0,0
