ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
113H1,0,1,1,1,1,1,1,1,1,1,1
113H10,0,1,1,1,1,1,1,1,1,1,1
113H11,0,1,1,1,1,1,1,1,1,1,1
113H12,0,1,1,1,1,1,1,1,1,1,0
113H13,0,1,1,1,1,1,1,1,1,1,1
113H14,0,1,1,1,0,1,1,1,1,0,0
113H15,0,1,1,1,1,1,1,1,1,1,1
113H16,0,1,1,1,1,1,1,1,1,0,0
113H17,0,1,1,1,1,1,1,1,1,1,1
113H18,0,1,1,1,0,1,1,1,1,1,1
113H19,0,1,1,1,1,1,1,1,1,1,1
113H2,0,1,1,1,1,1,1,1,1,1,1
113H20,0,1,1,1,1,1,1,1,1,1,1
113H21,0,1,1,1,1,1,1,1,1,1,1
113H22,0,1,1,1,1,1,0,0,0,0,0
113H23,0,1,1,1,1,1,1,1,1,1,1
113H24,0,1,1,1,1,1,1,1,1,1,1
113H25,0,1,1,1,1,1,1,1,1,1,0
113H26,0,1,1,1,1,1,1,1,1,1,1
113H27,0,1,1,1,1,1,1,1,1,1,1
113H28,0,1,1,1,1,1,1,1,1,1,1
113H29,0,1,1,1,1,1,1,1,1,1,1
113H3,0,1,1,1,1,1,1,1,1,1,1
113H4,0,1,1,1,1,1,1,1,1,1,1
113H5,0,1,1,1,1,1,1,1,1,1,1
113H6,0,1,1,1,1,1,1,1,1,1,0
113H7,0,1,1,1,1,1,1,1,1,1,1
