ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
24pandacorn24,0,1,1,1,0,1,1,1,1,1,1
2oo1sgr8,0,1,1,1,1,1,1,1,1,1,0
birds605,0,1,1,1,1,1,1,1,1,1,1
blaze703570,0,1,1,1,1,1,1,1,1,1,1
catsareawesome789,0,1,1,1,1,1,1,1,1,1,1
christmas3000,0,1,1,1,1,1,1,1,1,1,0
clover7777,0,1,1,1,1,1,1,1,1,1,1
doggys332,0,0,0,0,0,1,1,1,1,0,0
dolphin7600,0,1,1,1,1,1,1,1,1,1,1
iloveschool1000,0,1,0,0,0,1,1,1,1,0,0
influxmaster21,0,1,1,1,1,1,1,1,1,1,1
kingasparta35,0,1,1,1,1,1,1,1,1,1,1
kittygirl1257,0,1,1,1,1,1,1,1,1,1,1
kittyqueen231,0,1,1,1,1,1,1,1,1,1,1
luckystargirl09,0,1,1,1,1,1,1,1,1,1,1
panda48000,0,1,1,1,1,1,1,1,1,1,1
raspberry2000,0,1,1,1,1,1,1,1,1,1,1
redbirdmoney3,0,1,1,1,1,1,1,1,1,1,1
redhero59,0,1,1,1,1,1,1,1,1,1,1
schoolno3411,0,1,1,1,1,1,1,1,1,1,1
tigergirl1156,0,1,1,1,1,1,1,1,1,1,1
turtleshavetails123,0,1,1,1,1,1,1,1,1,1,0
unicorn5087,0,1,1,1,1,1,1,1,1,1,1
