ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
2oo1sgr8,0,1,0,0
adastra28,0,1,1,1
blaze703570,0,0,1,0
catsareawesome789,0,0,1,0
christmas3000,0,0,1,0
clover7777,0,0,1,0
doggys332,0,0,1,0
kingasparta35,0,0,1,0
luckystargirl09,0,0,1,0
panda48000,0,0,1,0
penguin88835,0,1,1,1
redbirdmoney3,0,1,1,0
shark730,0,1,1,0
tigergirl1156,0,1,0,0
turtleshavetails123,0,0,1,0
unicorn5087,0,0,1,0
