ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
10nipoe303,0,1,1,1,1,1,1,1,1,1
11cjpoe303,0,1,1,1,1,1,1,1,1,1
12skpoe303,0,1,1,1,1,1,1,1,1,1
13ampoe303,0,1,1,1,1,1,1,1,1,1
14ampoe303,0,1,1,1,1,1,1,1,1,1
15bmpoe303,0,1,1,1,1,0,1,0,0,0
16mnpoe303,0,1,1,1,1,1,0,0,0,0
17znpoe303,0,1,1,1,0,1,1,0,1,1
18eopoe303,0,1,1,1,0,1,1,0,1,1
19zppoe303,0,1,1,1,1,1,1,1,1,1
1oapoe303,0,1,1,1,1,1,1,1,1,1
20aspoe303,0,1,1,1,1,1,1,1,1,1
21nspoe303,0,1,1,1,1,1,1,1,1,1
22lspoe303,0,1,1,1,0,1,1,0,1,1
23bspoe303,0,1,1,1,1,1,1,1,1,1
25atpoe303,0,1,1,1,1,1,1,1,1,1
26ctpoe303,0,1,1,1,1,1,1,1,1,1
27awpoe303,0,1,1,1,1,1,1,1,1,1
28mwpoe303,0,1,1,1,1,1,1,1,1,1
29awpoe303,0,1,1,1,1,1,1,1,1,0
2bbpoe303,0,1,1,1,1,1,0,0,0,0
30mwpoe303,0,1,1,0,1,0,1,0,0,0
3sbpoe303,0,1,1,1,1,1,1,1,1,1
4mcpoe303,0,1,1,1,0,1,1,0,1,1
5mcpoe303,0,1,1,1,0,1,1,0,1,0
6mcpoe303,0,1,1,1,1,1,0,0,0,0
7jepoe303,0,1,1,1,0,1,1,0,1,1
8bgpoe303,0,1,1,1,0,1,1,0,1,1
9tgpoe303,0,1,1,1,1,1,1,1,1,1
